iter	AUC	Logloss
125	0.9148974717	0.2329832605
126	0.9150672555	0.2320566084
127	0.9151623249	0.2311892036
128	0.9153168201	0.2304414606
129	0.9157702625	0.229562427
130	0.915905118	0.2287436381
131	0.9159280062	0.2279181224
132	0.9160165489	0.2271529999
133	0.9161714315	0.2262422418
134	0.9163245559	0.2254437609
135	0.9164148867	0.2246293434
136	0.916531533	0.2238627142
137	0.9167933464	0.2230281162
138	0.9169461429	0.2222890948
139	0.9172980785	0.2215875061
140	0.9174657762	0.2207211836
141	0.917747885	0.2199027342
142	0.9178718328	0.2191878828
143	0.9183682799	0.2183752266
144	0.9185008705	0.2176945613
145	0.9185082614	0.2170583527
146	0.918574363	0.2163141747
147	0.9186026156	0.2156073234
148	0.9187548757	0.2150666915
149	0.9188508093	0.214278566
150	0.9188567102	0.213618145
151	0.9189189374	0.2129832308
152	0.9188701808	0.2124132723
153	0.9190073609	0.211764586
154	0.9188951552	0.2111471787
155	0.9190198779	0.2105073838
156	0.9190684259	0.2099407145
157	0.9190757573	0.2093524639
158	0.9190829694	0.2086933373
159	0.9191557169	0.2081343285
160	0.9192427397	0.2074843054
161	0.9195229113	0.2069157686
162	0.9195661843	0.2065127721
163	0.9196673632	0.2060922688
164	0.9197254479	0.2056474682
165	0.919739604	0.2050719074
166	0.919695884	0.2046072233
167	0.9198078811	0.2040882361
168	0.919895798	0.2036046445
169	0.9200066626	0.2032690228
170	0.920076102	0.202875915
171	0.9201570451	0.202400175
172	0.9202373326	0.2018738244
173	0.9206097424	0.201294635
174	0.9207542837	0.2006903418
175	0.9208460748	0.200335643
176	0.9209568799	0.1999937612
177	0.9211929142	0.1994424342
178	0.9212183952	0.1990498781
179	0.9213314354	0.1986777149
180	0.9214108884	0.1982257205
181	0.9214401245	0.1977799225
182	0.9215304255	0.1972852963
183	0.9216163158	0.1968849524
184	0.9216121137	0.1964927358
185	0.9217217267	0.1960808268
186	0.9218759537	0.1957149235
187	0.9219770432	0.1952733272
188	0.9222536087	0.1948533544
189	0.922360599	0.1944087022
190	0.9223744869	0.1939872864
191	0.9224045873	0.1936836226
192	0.9224030375	0.1933267168
193	0.9225604534	0.1930392229
194	0.9226690829	0.1926670384
195	0.9230632782	0.192211479
196	0.9232394695	0.191914924
197	0.923286438	0.1915887242
198	0.9235050678	0.1912305876
