iter	AUC	Logloss
881	0.9529336095	0.1326178878
882	0.9529283643	0.1326039354
883	0.9529364109	0.1325598076
884	0.9529429674	0.1325283059
885	0.9529674649	0.1324745228
886	0.9529878497	0.1324336099
887	0.9529973865	0.1323936519
888	0.9530195594	0.1323729089
889	0.9530283213	0.1323319536
890	0.9530412555	0.1323136404
891	0.9530504942	0.13228929
892	0.9530611634	0.1322646743
893	0.9530680776	0.1322443134
894	0.9530686736	0.1322415441
895	0.9531056881	0.1321803763
896	0.9531155825	0.1321422008
897	0.9531273246	0.1321178186
898	0.9531407356	0.1320931711
899	0.9531509876	0.1320662318
900	0.9531527758	0.1320596641
901	0.9531956315	0.1320066874
902	0.9531978369	0.1319936793
903	0.9532110691	0.1319769364
904	0.9532301426	0.1319480979
905	0.9532359838	0.1319375832
906	0.9532532692	0.1319146758
907	0.9532734156	0.1318754287
908	0.9532727599	0.1318500597
909	0.9532876015	0.13179964
910	0.9533113241	0.1317530506
911	0.9533368349	0.1317165516
912	0.9533585906	0.1316790976
913	0.9533655643	0.1316539302
914	0.9534038901	0.1316234047
915	0.9534160495	0.1315889003
916	0.9534191489	0.1315840833
917	0.9534387589	0.1315478494
918	0.9534632564	0.1315196051
919	0.9534608722	0.1315064272
920	0.9534626603	0.1314886658
921	0.953478992	0.1314550208
922	0.9535051584	0.1314159541
923	0.9534885287	0.1313832853
924	0.9535261393	0.1313205154
925	0.9535253048	0.131288515
926	0.9535264969	0.1312864566
927	0.9535522461	0.1312534695
928	0.9535779953	0.1312097661
929	0.9535924196	0.131193766
930	0.9535955787	0.1311826146
931	0.9536620975	0.131111208
